LETTER	COUNT
SPACE	1.0
T	0.4443616779610358
H	0.24208698125958653
E	0.5984534594830714
O	0.36604036439228366
F	0.11512570471436798
A	0.3851988377115339
N	0.346539286089706
D	0.18285786515328653
I	0.3626190885077741
S	0.31200513682490394
R	0.3008263074908102
W	0.08027553730521557
B	0.07112461933215652
Y	0.07976369767271356
M	0.12033015492802393
C	0.1601891542184753
U	0.13077100015078522
V	0.05045780652572109
L	0.1949316832357073
P	0.10232348465655516
K	0.025894216177925745
G	0.0895556228782031
J	0.007606324749781473
X	0.01125121783492397
Q	0.005771268126884755
Z	0.0043092406606468105
