layout	average fitness	top percent average fitness	best fitness
S Z B C D I A SPACE N E F K L O M U J P Q _ H T SPACE R W X Y G V _	19.47575724516602	21.545126932434183	23.985629012943786
D P Y K G E A SPACE H R _ U V M N I B F Q X S O SPACE T W Z L C _ J	20.282192058119485	22.098445870490654	24.073808469855592
L Y V U D E N SPACE H I Q _ O R M G K P C F S T SPACE A W X _ Z B J	20.9429101859161	22.548403663572604	24.286704510458335
M G F J _ E SPACE A T R C I O B N _ V P Q K S SPACE D H U W X Y Z L	21.47341105067654	22.910327123402645	24.541441144286
M G F J _ E SPACE A T R C I O B N _ V P Q K S SPACE D H U W X Y Z L	21.88792289824609	23.224269992772722	24.541441144286
M G F J _ E SPACE A T R C I O B N _ V P Q K S SPACE D H U W X Y Z L	22.230880405353787	23.48704267145719	24.541441144286
O I F M D E A SPACE R N U K L V G B W Z Y P C T SPACE S H Q J X _ _	22.512122215280062	23.70665265707671	25.029934363901262
O I F M D E A SPACE R N U K L V G B W Z Y P C T SPACE S H Q J X _ _	22.768155906012794	23.902602376565184	25.029934363901262
O I F M D E A SPACE R N U K L V G B W Z Y P C T SPACE S H Q J X _ _	22.98806353254522	24.072399947151617	25.029934363901262
F L C Z G E N SPACE O I X K R M D V B U J _ A T SPACE H S _ Q Y P W	23.192917836463913	24.22081649021511	25.04952939174842
F L C Z G E N SPACE O I X K R M D V B U J _ A T SPACE H S _ Q Y P W	23.37735751434701	24.34869927203013	25.04952939174842
B O F Y D E A SPACE R N V P L U M K Q _ W Z I T SPACE H S X _ G C J	23.558288357932827	24.462053848005564	25.210451852460896
B O F Y D E A SPACE R N V P L U M K Q _ W Z I T SPACE H S X _ G C J	23.728325437505106	24.564807704063334	25.210451852460896
B O F Y D E A SPACE R N V P L U M K Q _ W Z I T SPACE H S X _ G C J	23.88427256142761	24.655809479458174	25.210451852460896
O M W C F E A SPACE R N V K G D L Y P Z X _ S T SPACE I H Q B J U _	24.022582083432663	24.739461732395476	25.282430954347703
P L V B G SPACE T H E A M K R W O _ Y Q J X SPACE S N I D Z U C F _	24.15577166209472	24.817920072559424	25.348464426206665
U G V M J SPACE E I S N W L O C R _ P X Q K SPACE A T H D F Z B _ Y	24.272215789319137	24.89081954520483	25.365320657495495
O U Z F D A E SPACE R N K _ L C M G V X Y Q T S SPACE H I J _ B W P	24.374497591464916	24.961617661560666	25.43408877337208
V L B Y G E N SPACE A D J C R M O W Q _ _ Z T I SPACE S H X K U F P	24.47197788609461	25.026929022995144	25.473788250269507
V L B Y G E N SPACE A D J C R M O W Q _ _ Z T I SPACE S H X K U F P	24.56111566602835	25.087445226826357	25.473788250269507
O M B W F E A SPACE S N P U L R C V J K Q _ I T SPACE H D _ X Z Y G	24.640593526311658	25.14314517836569	25.5095829463942
U D G V J SPACE E I R N Y P O M L K C Q _ Z SPACE A T H S X _ W F B	24.71997393553899	25.19522042922945	25.549471959185517
P D U G J SPACE E A N R Y B O M L K Q Z X _ SPACE I T H S _ V F C W	24.78674884687527	25.242999730540085	25.62267279522685
P D U G J SPACE E A N R Y B O M L K Q Z X _ SPACE I T H S _ V F C W	24.84969322674495	25.28565953997757	25.62267279522685
P D U G J SPACE E A N R Y B O M L K Q Z X _ SPACE I T H S _ V F C W	24.907299027901125	25.327269501663192	25.62267279522685
U D G V Q SPACE E A R N Y P O M L K W X _ J SPACE T S H I Z _ C F B	24.960727265904637	25.365393750888753	25.643661716855497
C F Q V X SPACE E T A H P M R L O K W J Z _ SPACE S N I D _ B U Y G	25.008898635175697	25.399778012970724	25.722333471162766
C F Q V X SPACE E T A H P M R L O K W J Z _ SPACE S N I D _ B U Y G	25.058520117415714	25.43289037049937	25.722333471162766
C F Q V X SPACE E T A H P M R L O K W J Z _ SPACE S N I D _ B U Y G	25.11103221216127	25.465984360891532	25.722333471162766
C F Q V X SPACE E T A H P M R L O K W J Z _ SPACE S N I D _ B U Y G	25.16162772284407	25.498066129610113	25.722333471162766
C F Q V X SPACE E T A H P M R L O K W J Z _ SPACE S N I D _ B U Y G	25.225841638345116	25.53015202088404	25.722333471162766
O U P M F E A SPACE N R K B C D L W Z _ Q J T S SPACE I H _ X V Y G	25.291365010268677	25.560338104238834	25.731509534165493
O U P M F E A SPACE N R K V L D C W X _ Q J T I SPACE H S _ Z G B Y	25.36503027525618	25.58985391124701	25.735784946382676
O U G F C E A SPACE R N P V L M D W Z _ Q J T S SPACE I H _ X K B Y	25.435426384214303	25.618958186901214	25.739325214253473
O U P M F A E SPACE N R G V I L C W Q _ J K H S SPACE T D _ Z X B Y	25.491954742438224	25.645799228023897	25.76060882340465
O U P F M E A SPACE N R G V I C L B X _ Q J T S SPACE H D _ Z K W Y	25.53658426044506	25.670176184187017	25.79818286185518
O U M P F E A SPACE T R B V H L C Y X _ Z J N I SPACE S D _ Q K W G	25.577873141617772	25.692354378880804	25.804187391705465
O U M P F E A SPACE T R B V H L C Y X Z J _ N I SPACE S D Q _ K W G	25.612680640303857	25.71134276217544	25.804442724339996
O U P M F E A SPACE T R B V H L C Y X _ Z J N I SPACE S D Q _ K G W	25.642084449547877	25.727315688993528	25.838477461203
O U P M F E A SPACE T R B V H L C Y X Z J _ N I SPACE S D _ Q K W G	25.666209689302313	25.741530603763827	25.83915063756638
O U P F M E A SPACE T R B V H L C Y X Q J _ N I SPACE S D _ Z K W G	25.687688459320466	25.75573882494425	25.846934574471714
O U P F M E A SPACE T R B V H L C W X Q J _ N I SPACE S D _ Z K G Y	25.70545373772928	25.77173022112916	25.851118684873654
O U P M F E A SPACE T R B V H L C W X _ Q J N I SPACE S D Z _ K Y G	25.717201289409523	25.7884440359112	25.855261578541338
O U P M F E A SPACE T R B V H L C W X _ Q J N I SPACE S D Z _ K Y G	25.72825898040516	25.800910364334406	25.855261578541338
O U P M F E A SPACE T R X V H C L B Q _ Y J N I SPACE S D Z _ K G W	25.745657805102503	25.814258272424972	25.857148493631126
O U P M F E A SPACE T R X V H C L B Q _ Y J N I SPACE S D Z _ K G W	25.755743843518758	25.83077048931826	25.857148493631126
O U P M F E A SPACE T R X V H C L B Q _ Y J N I SPACE S D Z _ K G W	25.76175261824464	25.841941230894815	25.857148493631126
O U P M F E A SPACE T R X V H C L B Q _ Y J N I SPACE S D Z _ K G W	25.78385513021169	25.848410427858095	25.857148493631126
O U P M F E A SPACE T R X V H C L B Q _ Y J N I SPACE S D Z _ K G W	25.8221648897393	25.852697197691455	25.857148493631126
O U P M F E A SPACE T R X V H C L B Q _ Y J N I SPACE S D Z _ K G W	25.837536303776574	25.854640950394238	25.857148493631126
