layout	average fitness	top percent average fitness	best fitness
P A O F J L SPACE U H K C T D M V Z B E Y Q S SPACE G I W X _ R N _	42.05003850474579	44.07135940687769	46.08431699456928
W L E C F B X G I D J SPACE _ U M Y P O T Q R H S N A V SPACE Z K _	43.160127704790824	44.618879681019486	46.36044203181237
I K E G J U X A T D F SPACE _ B M Y P O W Q R H S N C V SPACE Z L _	43.83222882447044	45.00081302580602	46.87502921544415
I K E G J U X A T D F SPACE _ B M Y P O W Q R H S N C V SPACE Z L _	44.179859036034664	45.307280096281154	46.87502921544415
I K E G J U X A T D F SPACE _ B M Y P O W Q R H S N C V SPACE Z L _	44.43132011221738	45.56286331742191	46.87502921544415
J S B W Q H G A I D R SPACE L M X K _ T N F C O E Y P V SPACE Z U _	44.658181933117405	45.78492915398301	47.07791848248977
W F R N B U H D S L Q SPACE I K J Z C T P V G M E A Y O SPACE X _ _	44.876110024447215	45.97536734702095	47.12764769670054
B X T G Q L R H D J C SPACE Z K V P S E O Y F N A I W M SPACE U _ _	45.08065517797013	46.150905467440616	47.207837248127085
K G A D W I H O E J C SPACE M Y Z _ F T V Q R N S U L B SPACE P X _	45.27665475776106	46.30947944970462	47.42325125415193
X G A D W I H O E J C SPACE M _ Y Z F T V Q R N S L P K SPACE B U _	45.460079964657	46.45763106896225	47.530308702720745
K G A D W I H O E J B SPACE X Z _ U P T S Y C Q N M F R SPACE V L _	45.615387939725984	46.59445551249015	47.54181821779169
X Z E P J I A S O Q B SPACE U W _ M G T F L R C H N D V SPACE K Y _	45.75369777857944	46.7157680079395	47.56273711845678
Z A T K G U O E I Y X SPACE V J _ W M D L Q P N S F B H SPACE R C _	45.87977141091965	46.829746684018616	47.749755668496945
Q F E D B L O I A G H SPACE U K _ X C T Y P R N S W M J SPACE V Z _	45.991094111666946	46.93661086878223	47.796283231594174
G K T X W U O E A J I SPACE V Y Z P B N R Q D H S L F M SPACE C _ _	46.09726286022053	47.0366938728509	47.817480265307
K G P F Y I A E O Z V SPACE U X Q B M T D _ H S R N W C SPACE L J _	46.19670549718189	47.131954824206396	48.03161332039411
K G P F Y I A E O Z V SPACE U X Q B M T D _ H S R N W C SPACE L J _	46.291720475541	47.22461826889719	48.03161332039411
L B T D F N H S R J V SPACE M X G _ P C W Q I O A E Y Z SPACE U K _	46.39372044539838	47.31627537088341	48.11749107344165
L B T D F N H S R J V SPACE M X _ G P C W Q I O A E Y Z SPACE U K _	46.48857863066388	47.40113632798549	48.2674879141418
