layout	average fitness	top percent average fitness	best fitness
L D A C R E T SPACE I H J V G M W _ B F Q K S P SPACE O N X Y _ Z U	22.08588163957519	23.978764100433366	25.845708113258116
N A G C L E H T SPACE R K J D M U P O Q B _ S F I SPACE W X V Z Y _	23.058181687316676	24.547388548275972	25.96086996535026
A C V F D E I SPACE N R B G L M H Q U K J Y S T SPACE O W X P Z _ _	23.77112404731519	24.954642269559677	26.31068333690035
F R O C L E T SPACE I H J V G M K W U _ P Q N S SPACE A D X Y Z _ B	24.224046300842456	25.27138709962972	26.512020568299274
F R O C L E T SPACE I H J V G M K W U _ P Q N S SPACE A D X Y Z _ B	24.55554474762462	25.53145089574501	26.512020568299274
U R O C L E T SPACE I H J V P M W G Q _ F K N S SPACE A D X Y Z _ B	24.820385186071597	25.745131081067907	26.535780677376902
F Q P K G E N SPACE A R U _ O L D C J Z X W I T SPACE S H Y V B _ M	25.05364657989746	25.92345937917247	26.64479954251226
P R M B L E N SPACE I A J V G D C K Z Q Y _ S T SPACE H O X _ U F W	25.26466607217532	26.076864586021806	26.81599371022713
P R M B L E N SPACE I A J V G D C K Z Q Y _ S T SPACE H O X _ U F W	25.45021371020515	26.209801967951858	26.81599371022713
M R P B L E N SPACE I A J V G D C K Z Q Y _ S T SPACE H O X _ U F W	25.636371035943576	26.330233430801997	26.82554782088171
Y M P B W N E SPACE A R Q V L G D O X U F _ S T SPACE I H Z K C _ J	25.807457504273685	26.429477502606968	26.855977294967904
O U B F P E A SPACE D R G V L M N W Q J Z _ T S SPACE H I _ C Y K X	25.967990368541653	26.513929371132544	26.86981616865425
W M J G P E N SPACE A R U L O F D K Z _ X B I T SPACE S H Q V C _ Y	26.094766879099257	26.59066909078314	26.9487451597274
K Y Z V B SPACE E A S R P L U M D C F X _ Q SPACE T N O I _ W J H G	26.19743518355514	26.66340357759772	27.02501400562333
K Y Z V B SPACE E A S R P L U M D C F X _ Q SPACE T N O I _ W J H G	26.281499659310846	26.7320292267346	27.02501400562333
O P U C F E A SPACE N R G V L D M K _ J W Q T I SPACE S H _ X Y Z B	26.364980922962168	26.792649546496452	27.10707419369918
O G P M F E A SPACE N R K U L D C J Z X _ W I T SPACE S H _ V Q Y B	26.45361941762657	26.8394984284504	27.146822279026296
O G P M F E A SPACE N R K U L D C J Z X _ W I T SPACE S H _ V Q Y B	26.532685118158394	26.87584447835706	27.146822279026296
O U P M F E A SPACE N R V B L D C W Z Q J _ S T SPACE I H _ X G Y K	26.595891711701462	26.928072472024645	27.245791705285537
O U P M F E A SPACE N R V B L D C W Z Q J _ S T SPACE I H _ X G Y K	26.647711383824596	26.979017003409396	27.245791705285537
O U P M F E A SPACE N R G V L D C W K _ Q Z T I SPACE S H _ X J Y B	26.725850868960876	27.036092880839583	27.26591653679032
