id,key,dt_seconds,hold_seconds
1,cmd,,0.13457170000037877
2,1,0.07553490000282181,0.08510959999694023
3,cmd,,0.10356619999947725
4,2,0.045081199998094235,0.09865480000007665
5,cmd,,0.08414400000037858
6,1,0.039461199994548224,0.0595649000024423
7,cmd,,0.11378250000416301
8,cmd,0.3182197000060114,0.32102549999399344
9,cmd,0.9957871999940835,0.27191080000193324
10,cmd,0.9647729999996955,0.16392370000539813
11,2,0.06032210000557825,0.14127580000058515
12,ctrl,,0.7607114999991609
13,t,0.6224752000052831,0.07525109999551205
14,g,0.4073398999971687,0.14465059999929508
15,m,0.20873330000176793,0.16044939999846974
16,a,0.0894071000002441,0.13586529999884078
17,i,0.03542819999711355,0.1625793999992311
18,l,0.08415940000122646,0.1034432000014931
19,enter,0.045296399999642745,0.09400810000079218
20,d,,0.11390229999960866
21,e,0.19909570000163512,0.09373339999729069
22,n,0.3481589000002714,0.06991239999479149
23,n,0.1197119999997085,0.11368299999594456
24,i,0.07947859999694629,0.07083330000023125
25,s,0.0784946999992826,0.07084469999972498
26,enter,0.051001799998630304,0.07487290000426583
27,media_volume_up,,0.015422500000568107
28,media_volume_down,0.8017871999982162,0.014068999997107312
29,shift,,0.19474739999714075
30,d,0.11562509999930626,0.1340935999978683
31,a,0.18854429999919375,0.154425300002913
32,r,0.07476409999799216,0.08892480000213254
33,r,0.134281300001021,0.12372969999705674
34,i,0.08971600000222679,0.06977399999595946
35,e,0.08980480000172975,0.07441999999718973
36,n,0.04464249999728054,0.06445959999837214
37,cmd,,0.0940827000013087
38,2,0.0403712000043015,0.08938499999931082
39,r,,0.1191700999988825
40,o,0.1686822999981814,0.0696648000011919
41,l,0.13416460000007646,0.059861100002308376
42,enter,0.08943330000329297,0.0651060999953188
43,ctrl,0.4733120000018971,0.20492519999970682
44,t,0.11987499999668216,0.20393450000119628
45,d,0.22297229999821866,0.08511450000514742
46,n,0.10503289999905974,0.0809302000052412
47,d,0.060268100001849234,0.09345980000216514
48,b,0.1887808000028599,0.08988220000173897
49,e,0.12023999999655643,0.12873799999943003
50,enter,0.6406170000045677,0.07610969999950612
51,ctrl,,0.15312770000309683
52,w,0.08410999999614432,0.13527040000190027
53,ctrl,,0.18520510000234935
54,w,0.09555859999818495,0.13083180000103312
55,esc,,0.22898710000299616
56,media_volume_up,,0.04048969999712426
57,media_volume_down,,0.015380000004370231
58,d,,0.08980299999529961
59,n,0.11941779999324353,0.12388210000062827
60,d,0.049895400006789714,0.14527169999928446
61,b,0.18422379999537952,0.0887942999979714
62,e,0.10857440000108909,0.13945260000036797
63,y,0.08762810000189347,0.0617844000007608
64,o,0.10772229999565752,0.12358390000008512
65,n,0.08927500000572763,0.08474829999613576
66,d,0.04389449999871431,0.09518279999610968
67,enter,0.07992199999716831,0.05505450000055134
68,space,,0.8063227999955416
69,space,,0.32807640000100946
70,space,,0.7167131999958656
71,media_volume_up,,0.016884600001503713
72,cmd,,0.16358520000358112
73,1,0.06435210000199731,0.17508770000131335
74,cmd,0.8914625000033993,0.6279623999944306
75,2,0.029810099993483163,0.10470830000122078
76,3,0.37811230000079377,0.1439886000007391
77,ctrl,,0.5267609000002267
78,shift,0.1240163999973447,0.42352309999841964
79,esc,0.17924730000231648,0.14949409999826457
80,ctrl,,0.017975299997488037
81,f,0.007805900000676047,0.004860499997448642
82,p,0.8763458999965223,0.10894900000130292
83,y,0.11915559999761172,0.050280399998882785
84,k,,0.11064009999972768
85,e,0.0893357000022661,0.11381490000349004
86,y,0.12109330000384944,0.07362899999861838
87,s,0.1478623999937554,0.0793891000066651
88,t,0.4426835000049323,0.08583070000167936
89,r,0.19440539999777684,0.069572699998389
90,o,0.08384630000364268,0.13046359999862034
91,k,0.049779999993916135,0.11004940000566421
92,e,0.14943599999969592,0.09496100000251317
93,ctrl,0.587198700006411,0.14491409999754978
94,w,0.051127099999575876,0.11851519999618176
95,e,,0.08518190000177128
96,x,0.19906459999765502,0.11645750000025146
97,p,0.12391400000342401,0.10511170000245329
98,o,0.05528980000235606,0.1095939999941038
99,r,0.08051999999588588,0.09963470000366215
100,t,0.15894100000150502,0.10463909999816678
101,enter,0.11185269999987213,0.07227779999811901
102,enter,,
