_	z	x	c	v	b	a	s	d	f	g	q	w	e	r	t	_
z	131,2	215,1	256,1	208,1	163,1	140,1	161,2	NA	NA	180,1	NA	258,1	232,2	106.5,2	183,1	221.5,2
x	145.5,2	164,1	265,1	199.5,2	146.5,2	123,1	115,1	195,1	388,1	NA	249,1	NA	NA	119,1	331,2	123,1
c	139,1	NA	296,2	229,2	134,1	NA	140,1	139.5,2	147.5,2	NA	183,1	163,1	176,1	155,2	NA	549,1
v	302,2	171.5,2	NA	195.5,2	149,1	204,1	487,1	NA	160.5,2	168.5,2	289,1	385,2	177.5,2	244,1	314,2	171,2
b	156.5,2	126.5,2	125,1	115,1	213,1	NA	269,1	394.5,2	391,2	221.5,2	193,3	250,1	145.5,2	243,2	NA	264.5,2
a	70.5,2	842,1	281.5,2	104,1	NA	339,1	NA	177.5,2	345,2	170,2	84,1	217.5,2	134,1	204,1	NA	179,1
s	445,2	179,2	220,1	194,2	410.5,2	NA	189,1	320,3	194.5,2	319,2	183.5,2	213,2	182.5,2	216,1	254.5,2	97,1
d	110.5,2	165,2	130,2	243,1	NA	173,2	160,1	173.33333333333334,3	92,1	235,1	100,1	250,1	256,2	295.6666666666667,3	169,1	NA
f	311,2	253,1	215,1	148,2	361,1	175.5,2	268,1	159,1	187,2	139,1	94,1	207,1	237.5,2	153.5,2	176,1	148,1
g	113,1	419,2	NA	NA	153.5,2	195,1	270,2	239,2	202.5,2	320,1	151.5,2	164,1	NA	224,1	195,2	330,1
q	401,1	101,1	137,2	90,1	118,1	153,2	185,1	149.5,2	187.5,2	145,1	178,1	150,2	129,2	303.5,2	301,2	190.66666666666666,3
w	196,1	241,1	208.5,2	410,1	68,1	258.5,2	174,1	193.5,2	348,1	170.5,2	344,1	NA	168,1	NA	205,1	116.5,2
e	192,2	559,1	140,1	125,1	409,1	93,1	195,2	197,1	209,2	166,1	160,1	309.5,2	182,1	229,1	224,2	171,1
r	182.5,2	194,1	224,1	179,3	198.5,2	159,2	84,1	115,1	165,2	178,1	199.5,2	NA	151.5,2	197.5,2	180,1	169,2
t	118,1	257,2	224,1	138,2	125.5,2	199,2	180,1	571,2	NA	417,1	217.5,2	720,2	169,1	282,1	292,1	NA
_	NA	160,1	NA	97.5,2	168,2	559,1	229,2	182,2	195.5,2	NA	264,1	205,1	NA	163.5,2	NA	134,2
